utm_x,utm_y
332215.129718465,4128570.73432736
332215.982856182,4128572.59313608
332216.623007626,4128574.44510921
332216.905442555,4128576.14884516
332216.90952399,4128578.12455268
332216.506474942,4128580.14171132
332215.950920632,4128581.62912628
332215.083975607,4128583.06727611
332213.844250427,4128584.49068987
332212.665672122,4128585.42448221
332211.551350615,4128586.02398998
332209.766610621,4128586.80342025
332207.865957594,4128587.55187196
332205.929844316,4128588.30103413
332204.020104628,4128589.03856876
332202.190373699,4128589.78560175
332200.30834091,4128590.57808218
332198.425864115,4128591.34837206
332196.555363229,4128592.27382175
332194.690617401,4128593.04375747
332192.754950796,4128593.81511376
332190.873586261,4128594.64088286
332189.007952689,4128595.36643791
332187.132121164,4128596.02559795
332185.257845242,4128596.76242688
332183.260568716,4128597.5572191
332181.38629344,4128598.29404891
332179.499820379,4128598.8646243
332177.670070682,4128599.16766555
332176.188260332,4128599.13074097
332174.940920063,4128598.84492229
332173.786652065,4128598.33524101
332172.762694457,4128597.68975088
332171.670236721,4128596.72373436
332170.622303401,4128595.32392849
332169.595854324,4128593.66839378
332168.665365924,4128591.93323775
332167.696305616,4128590.0434551
332166.826094772,4128588.2182925
332166.079106763,4128586.34626237
332165.341650247,4128584.50734123
332164.568955047,4128582.68022583
332163.750822689,4128580.79852077
332162.96815061,4128578.91610559
332162.443503788,4128577.96091802
332161.661720069,4128576.12288493
332160.939992167,4128574.1837496
332160.547187491,4128572.72642415
332160.36625772,4128571.2204555
332160.383519936,4128570.75391215
332160.527759661,4128569.98512722
332160.862810864,4128569.0016218
332161.518762292,4128567.65649127
332162.691314545,4128565.9791161
332163.369909115,4128565.32172873
332164.89244921,4128564.29224113
332166.677412719,4128563.52389684
332168.611084568,4128562.65267529
332170.511518178,4128561.89311929
332172.278974519,4128561.13622681
332174.168988186,4128560.29918075
332175.987858614,4128559.45245992
332177.913778092,4128558.63689557
332179.795149847,4128557.81112385
332181.641950016,4128557.03044465
332183.534853915,4128556.33764217
332185.460774766,4128555.52207962
332187.35079089,4128554.68503662
332189.232608738,4128553.88145807
332191.061458024,4128553.09004056
332192.943276551,4128552.28646286
332194.771682154,4128551.4728552
332196.678986058,4128550.61326837
332198.534210074,4128549.8102245
332200.479197109,4128549.06088344
332202.405787611,4128548.27861138
332204.243060107,4128547.46482834
332206.088531653,4128546.61758174
332207.978551653,4128545.78054355
332209.746014445,4128545.02365922
332211.627169946,4128544.18679938
332213.517190996,4128543.34976248
332215.398569363,4128542.523999
332217.306543656,4128541.69770349
332219.180612522,4128540.94978682
332221.010133598,4128540.19166252
332222.919219602,4128539.42084578
332224.733010125,4128538.76293671
332226.769763581,4128538.16716397
332227.886111802,4128538.11151507
332228.535936599,4128538.23170502
332229.598447131,4128538.58783185
332230.980346497,4128539.39266229
332232.12621723,4128540.36871713
332233.163503876,4128541.679944
332233.955896706,4128543.16257258
332234.727246718,4128544.92312093
332235.553786623,4128546.78246393
332236.300317414,4128548.63230875
332237.135943956,4128550.50256992
332237.925689436,4128552.29605007
332238.744251294,4128554.19995279
332239.509177527,4128556.0827294
332240.388462245,4128557.91881705
332241.295230574,4128559.79875435
332242.147696944,4128561.62427908
332243.044044585,4128563.42672557
332243.862160138,4128565.30843777
332244.502527857,4128567.1715083
332245.110099972,4128569.16843461
332245.319811844,4128570.34082998
332245.271970656,4128571.05218365
332245.100905687,4128571.81040375
332244.778022517,4128572.51616326
332244.381108612,4128573.06800562
332243.963354901,4128573.46486604
332243.036530694,4128574.12721569
332241.762854979,4128574.74100916
332239.834268523,4128575.42341287
332237.912992685,4128576.02797112
332236.018756808,4128576.6541884
332234.089726948,4128577.31440248
332232.124792508,4128577.95313593
332230.249398385,4128578.63447705
332228.383536094,4128579.34892759
332226.384272781,4128580.48784695
332224.709688479,4128581.45376752
332224.117965165,4128582.02061105
332223.521597406,4128582.79844644
332222.906409182,4128583.96515655
332222.659336614,4128584.91359794
332222.57561309,4128586.04746795
332222.690032712,4128587.33277014
332223.133149401,4128589.08878899
332223.974752944,4128590.81463003
332224.115949139,4128591.22250096
332224.732127179,4128592.32015868
332225.185158089,4128592.79948612
332225.788229873,4128593.24250988
332226.387969564,4128593.51910131
332226.958670331,4128593.67417482
332227.562388149,4128593.70648803
332228.403021192,4128593.6119589
332230.337155815,4128593.20693966
332232.294554108,4128592.63495607
332234.177255423,4128591.87576938
332236.141076044,4128591.18155883
332238.061459747,4128590.53261806
332239.954581959,4128589.85092368
332241.873189308,4128589.11321988
332243.845432047,4128588.39664272
332245.730134228,4128587.73731812
332247.668249649,4128587.08802469
332249.578215188,4128586.36159565
332251.507021837,4128585.69028961
332253.417876386,4128585.00824343
